Source,Title,Link,Price,Posted,Description,Bedrooms,Bathrooms,Utilities Included,Image
The Cannon,"454 College Ave W, Guelph",https://thecannon.ca/classified/housing/171764/,$900/incl.utils,1/Sep/2026,"Room for rent for studnet on College Avenue West — great location! International students are welcome in this quiet, respectful house.",N/A,N/A,False,
The Cannon,"96 Goodwin Dr, Guelph",https://thecannon.ca/classified/housing/171752/,$3500,1/Sep/2026,Large 4 bedroom house in South end of Guelph right by Bus stop to University. Large Family room and Living room.,4,N/A,False,
The Cannon,Apartment or Condo in Guelph,https://thecannon.ca/classified/housing/171739/,$1700,1/Sep/2026,Hi,N/A,N/A,False,
The Cannon,"24 Young St, Guelph",https://thecannon.ca/classified/housing/171746/,$1050,1/Sep/2026,One bedroom in a three bedroom house available ASAP. The house is a 15 minute walking distnce to UoG and Stone road mall. One room is occupied by one male and other by female studens of UoG and is very quite area. Rent includes utilities and lot of,N/A,N/A,False,
The Cannon,"39 Keats Crescent, Guelph",https://thecannon.ca/classified/housing/171734/,$1000,1/Sep/2026,"7 minute bus from campus, grocery stores within 15 minute walk, 4 month sublet from Jan to April needed!",N/A,N/A,False,
The Cannon,Apartment or Condo in Guelph,https://thecannon.ca/classified/housing/171732/,$Up to $1500,1/Sep/2026,Looking for a nice place ASAP preferably a shared condo. 2nd year UofG student. Please reach out! Msg: 416-529-2270 or reply.,N/A,N/A,False,
The Cannon,"342 Cole Rd, Guelph",https://thecannon.ca/classified/housing/171719/,$825+,1/Sep/2026,"4 bedroom, 2 full bathroom house for rent",4,N/A,False,
The Cannon,"129 Baxter Dr, Guelph",https://thecannon.ca/classified/housing/171713/,$2000,1/Sep/2026,"Large 2 bedroom basement apartment. 2 Large rooms, 2 full washrooms, large open concept kitchen, dining and living. Separate Laundry with stackable washer and dryer. Large living and dining area. Utilities will be 30% of building Utilities. Laminate",2,N/A,False,
The Cannon,"91 Poppy Dr E, Guelph",https://thecannon.ca/classified/housing/171708/,$1100,1/Sep/2026,"A private room in a 5 person townhouse, located in south Guelph near Pergola Commons. No parking available, though street parking is available nearby. Direct busses to the university within an 8-10 minute walk including 5, 56U, and the first stop on",N/A,N/A,False,
The Cannon,"142 York Rd, Guelph",https://thecannon.ca/classified/housing/171731/,"$1,000",1/Sep/2026,"Seeking female room mate for fully furnished, professionally cleaned and freshly painted unit. All students are in second year. 1 bedroom available in a 5 bedroom unit. 2 people per floor and full bath with 2 people per bathroom.  1 basement bedroom",1,N/A,False,
The Cannon,"43 Macdonell St, Guelph",https://thecannon.ca/classified/housing/171700/,$800,1/Sep/2026,"Downtown 2 bedroom ,",2,N/A,False,
The Cannon,"58 Guelph St, Guelph",https://thecannon.ca/classified/housing/171697/,"$3,000/month for entire house",1/Sep/2026,"3 Bedroom bungalow for rent (utilities included, NO INTERNET) including laundry. $3,000/month on 8 month lease (September to April).",3,N/A,True,
The Cannon,"11 Argyle Dr, Guelph",https://thecannon.ca/classified/housing/171690/,$1800,1/Sep/2026,Newly renovated 2 bed 1 bath basement walk-up apartment. No parking but bike shed provided. No pets or smoking due to shared HVAC. Central air and heat. Soundproofing added for privacy during reno. Shared laundry. 1800 includes utilities and,2,1,False,
The Cannon,"35 Carrington Pl, Guelph",https://thecannon.ca/classified/housing/171682/,$1050/month,1/Sep/2026,Looking for a U of G student to join three second-year male students in a 4-bedroom house at 35 Carrington Place.,N/A,N/A,False,
The Cannon,"35 Caledonia St, Guelph",https://thecannon.ca/classified/housing/171695/,$825,1/Sep/2026,"This spacious, legal, and registered 3-bedroom lower-level apartment is availble for a 1-year lease.",N/A,N/A,False,
The Cannon,"75 Farley Dr, Guelph",https://thecannon.ca/classified/housing/171667/,$875,1/Sep/2026,One Bedroom for Rent – Prime South End Guelph | Close to University of Guelph,N/A,N/A,False,
The Cannon,"771 Scottsdale Dr, Guelph",https://thecannon.ca/classified/housing/171662/,$1200,31/Aug/2026,1 bedroom apartment in the lower above ground portion of house with own private entrance. Big back yard and deck. Full kitchen and laundry facilities. On direct bus line to university,1,N/A,False,
The Cannon,"72 Glasgow St S, Guelph",https://thecannon.ca/classified/housing/171656/,$900,31/Aug/2026,Room for Sublet – January to April 2027,N/A,N/A,False,
The Cannon,"169 Metcalfe St, Guelph",https://thecannon.ca/classified/housing/171647/,$1800incl,31/Aug/2026,"Move in: September 15, 2026",N/A,N/A,False,
The Cannon,"26 Manitoba St, Guelph",https://thecannon.ca/classified/housing/171424/,$950/incl,31/Aug/2026,Only 2 of 4 bedrooms available in this fully renovated home. The other two bedrooms are occupied by male U of G students.,4,N/A,False,
The Cannon,"302 College Ave W, Guelph",https://thecannon.ca/classified/housing/171609/,$860,31/Aug/2026,We have 4 bedrooms available unfurnished and prices are according to the size included utilities. Upstairs 3 rooms have 4 piece washroom and a powder room on the main floor.,4,N/A,False,
The Cannon,"46 Moore Ave, Guelph",https://thecannon.ca/classified/housing/171639/,$970.46,31/Aug/2026,"The  Forest House, nestled amongst green Spruce Trees, steps from OVC and  transit, ~ 7 minutes to College and Gordon at NW corner of campus.T his quiet house just off College Ave, is fully furnished except for blankets, sheets pillows.  Room looks",N/A,N/A,False,
The Cannon,"86 St Arnaud St, Guelph",https://thecannon.ca/classified/housing/171637/,$899 +,31/Aug/2026,"BRAND NEW 3 bedroom, 1 bathroom lower unit for rent Sept 1st.",3,1,False,
The Cannon,"36 Katemore Dr, Guelph",https://thecannon.ca/classified/housing/171631/,$875,31/Aug/2026,"One room in shared all female townhouse available October 1. Townhouse is in a quiet southend neighborhood, near bus stop and amenities.  Shared laundry and washroom. No parking currently available. Lease time is negotiable. Female student preferred.",N/A,N/A,False,
The Cannon,"302 College Ave W, Guelph",https://thecannon.ca/classified/housing/171580/,$1000,31/Aug/2026,"1 basement room left in a 4 bedroom student rental. Includes utilities and internet. A/C, dishwasher, water softener, garage. Full bathroom in basement. Other 3 rooms are occupied by males.",4,N/A,False,
The Cannon,"30 William St, Guelph",https://thecannon.ca/classified/housing/171576/,$2700,31/Aug/2026,"Duplex detached bungalow house Upper level for rent at central east Guelph. Large lot with shed, CARPET FREE, Stainless Steel Kitchen Appliances, Bright living room with large windows. One Shed for extra storage. Three good size bedrooms. UTILITIES",N/A,N/A,False,
The Cannon,"37 Devere Dr, Guelph",https://thecannon.ca/classified/housing/171570/,$900 incl.utils,31/Aug/2026,"Room for rent for students in a lower-level apartment with a separate entrance, close to College Avenue West.",N/A,N/A,False,
The Cannon,"54 Steffler Dr, Guelph",https://thecannon.ca/classified/housing/171557/,$1895,31/Aug/2026,🏠 **2-BEDROOM LEGAL BASEMENT APARTMENT – GUELPH – $947.50/PERSON ALL-INCLUSIVE**,N/A,N/A,False,
The Cannon,"42 Hill Trail, Guelph",https://thecannon.ca/classified/housing/171551/,$1750incl,31/Aug/2026,"1 Bedroom, 1 bathroom basement unit is located on a quiet court in the east end of Guelph. The large open concept kitchen and living room has ample space for dining and lounging. The unit is intentionally built with plenty of storage, in unit",1,1,False,
The Cannon,"10 Duck Ln, Guelph",https://thecannon.ca/classified/housing/171538/,$1100,31/Aug/2026,"🏠 Landlord lives in – quiet home, 2 rooms for rent.",N/A,N/A,False,
The Cannon,"376 Woolwich St, Guelph",https://thecannon.ca/classified/housing/171526/,$775,30/Aug/2026,"Hello, we are a group of 2 girls and 2 guys looking for a fifth roommate! 3 of us attend the university of guelph and are going into our second year (programs: psychology, environmental science and environmental engineering). The fourth roommate is",N/A,N/A,False,
The Cannon,"77 College Ave W, Guelph",https://thecannon.ca/classified/housing/171518/,$850,30/Aug/2026,"10 min walk to campus or bus stop is right outside. Renting out first floor bedroom for fall semester. There are 5 other students living in the house but there is enough space that it doesn’t feel crowded. House has 2 shareable bathrooms, kitchen,",N/A,N/A,False,
The Cannon,"74 Rodney Blvd, Guelph",https://thecannon.ca/classified/housing/171528/,$900,30/Aug/2026,Bedrooms available for rent in all female house.,N/A,N/A,False,
The Cannon,"160 Macdonell St, Guelph",https://thecannon.ca/classified/housing/171517/,"$2,800",30/Aug/2026,Excellent Location! Live in heart of downtown.,N/A,N/A,False,
The Cannon,"920 Edinburgh Rd S, Guelph",https://thecannon.ca/classified/housing/171483/,$780,30/Aug/2026,LAST MINUTE STUDENT HOUSING AVAILABLE!,N/A,N/A,False,
The Cannon,"1280 Gordon St, Guelph",https://thecannon.ca/classified/housing/171472/,$1050,30/Aug/2026,"Off Campus living in upscale condo unit. 1280 Gordon Street. 9 minute bus ride to campus, 5 min drive and about a 30 min walk. All amenities available on Gordon Street within a 20 min walk, Transit steps from building.",N/A,N/A,False,
The Cannon,"158 Dallan Dr, Guelph",https://thecannon.ca/classified/housing/171477/,$2500,30/Aug/2026,"main floor and second floor (master bedroom is locked and not included), 2 bedrooms, 1 parking, utilities included, furnished.",2,N/A,True,
The Cannon,"38 Fieldstone Rd, Guelph",https://thecannon.ca/classified/housing/171466/,$900,30/Aug/2026,Need a last minute room because your lease fell through? Roommates backed out?,N/A,N/A,False,
The Cannon,"124 Gosling Gardens, Guelph",https://thecannon.ca/classified/housing/171456/,$800,30/Aug/2026,"Looking to rent 1 bedroom upstairs for the 2026-2027 academic year, starting September 1, 2026.  Three of the other bedrooms in the house have already been rented out.  House is furnished.",1,N/A,False,
The Cannon,"599 College Ave W, Guelph",https://thecannon.ca/classified/housing/171448/,$865.00,30/Aug/2026,"One bedroom left in shared house. Four bedrooms upstairs with full bath. Kitchen, living room, dining room and half bath on main floor. Deck off the kitchen shaded by a big catalpa tree. Backs onto green space. Bus stop across the street. 10 mins",N/A,N/A,False,
The Cannon,"120 Huron St, Guelph",https://thecannon.ca/classified/housing/171442/,$1975.00,30/Aug/2026,"Alice Block Condominiums, located at 120 Huron Street in Guelph’s vibrant Ward neighbourhood. This bright, 5th floor (top floor), 14 foot ceilings, is steps away from the rooftop terrace. Enjoy the convenience of being just a 15 minute walk to",N/A,N/A,False,
The Cannon,"242 Terraview Crescent, Guelph",https://thecannon.ca/classified/housing/171435/,$1025.00 + Utilities,29/Aug/2026,"Hi! I’m an upper year student at UoG and in W27 I’ll be doing a semester abroad so my room will be up for grabs! It’s the master bedroom in a fully furnished house, 10 minutes from campus by bus (which come every 10-20 minutes on weekdays). The house",N/A,N/A,False,
The Cannon,"38 Youngman Dr, Guelph",https://thecannon.ca/classified/housing/171418/,$980/ all in,29/Aug/2026,Fully Furnished Rooms for Rent – Available September 1.,N/A,N/A,False,
The Cannon,"24 Young St, Guelph",https://thecannon.ca/classified/housing/171390/,$1100,29/Aug/2026,"One bedroom avaialble from Sept 1st, 20026 in a three bedroom house. It is a 20 minute walk to UoG and 6 minute walk to Bus route. Two rooms are occupied by the students of UoG one male and one female. It has big living room, kitchen and backyard",N/A,N/A,False,
The Cannon,"5 Brazolot Dr, Guelph",https://thecannon.ca/classified/housing/171382/,$1480 For Entire 2-Bed,29/Aug/2026,"Fresh 2 bedroom basement apartment for just $1480 Including utilities for the ENTIRE APARTMENT (two bedrooms). The apartment has a spacious living room, full kitchen, bathroom, two bedrooms, walking closet, laundry facility and its own separate",2,N/A,False,
The Cannon,"182 Harvard Rd, Guelph",https://thecannon.ca/classified/housing/171376/,$1000 per room,29/Aug/2026,Beautifully Renovated Student Rental,N/A,N/A,False,
The Cannon,"9 Cambridge St, Guelph",https://thecannon.ca/classified/housing/171367/,$775,28/Aug/2026,BRAND-NEW RENOVATED 3-BEDROOM – $775-$875/ROOM （water/gas included),N/A,N/A,False,
The Cannon,"34 Landsdown Dr, Guelph",https://thecannon.ca/classified/housing/171364/,$915,28/Aug/2026,LOOKING FOR 3 FEMALE ROOMMATES ASAP!,N/A,N/A,False,
The Cannon,"27 McCann St, Guelph",https://thecannon.ca/classified/housing/171318/,$1650.00,28/Aug/2026,"For Rent Basement apartment available starting Sept. 1st, located in the highly sought-after N1G area, just a 7 minute drive away from the University of Guelph and Stone Road Mall.",N/A,N/A,False,
The Cannon,"44 Eastview Rd, Guelph",https://thecannon.ca/classified/housing/171352/,$2350,28/Aug/2026,"Newly renovated, legal 3 bedrooms 2 full bathroom bungalow apartment with brand new stairs, doors, showers, vanities, lighting, electrical and plumbing. also has full size in unit laundry along with parking. 5 minute drive to 3 gyms, hospital, 3",3,N/A,False,
The Cannon,"70 Kent St, Guelph",https://thecannon.ca/classified/housing/171337/,$835 utilities included,28/Aug/2026,"Historic Limestone Home (circa 1860) – 8 month lease – renovated this summer, 7 minute walk to downtown , 3 minute walk to Gordon St bus stop. Two full bathrooms, large kitchen with 2 fridges, and parking. This is a mixed M/F house with everyone",N/A,N/A,False,
The Cannon,"42 Lowes Rd W, Guelph",https://thecannon.ca/classified/housing/171304/,$2495,28/Aug/2026,"Brand-New 2-Bedroom, 2-Bath Main-Floor Condo – South Guelph",N/A,N/A,False,
The Cannon,"6 University Ave E, Guelph",https://thecannon.ca/classified/housing/171298/,$650,28/Aug/2026,"Lovely and well-established Guelph 10-room registered lodging house only steps away from the North edge of University campus, offering clean and bright private rooms, with shared facilities including 2 kitchens, 3 bathrooms and on-site laundry.",N/A,3,False,
The Cannon,"23 Elizabeth St, Guelph",https://thecannon.ca/classified/housing/171286/,$900/incl.utils & wi-fi,28/Aug/2026,Room for rent-Excellent location!,N/A,N/A,False,
The Cannon,"155 Metcalfe St, Guelph",https://thecannon.ca/classified/housing/171282/,$2550,28/Aug/2026,BRAND NEW! 3 bedroom basement walk-out unit. Ready for a Sept move in!,3,N/A,False,
The Cannon,"71 Wyndham St S, Guelph",https://thecannon.ca/classified/housing/171272/,$3250,27/Aug/2026,"Live in one of downtown’s most desirable pockets, in a home where the landlord even covers exclusive Edgewater resident perks – a library, fitness centre, billiards lounge, and golf simulator all included.",N/A,N/A,False,
The Cannon,"120 Moss Pl, Guelph",https://thecannon.ca/classified/housing/171266/,$950 incl,27/Aug/2026,Available October 01!,N/A,N/A,False,
The Cannon,"95 Toronto St, Guelph",https://thecannon.ca/classified/housing/171260/,$750+utilities,27/Aug/2026,October 01 Lease Start Date,N/A,N/A,False,
The Cannon,"91 Victoria Rd N, Guelph",https://thecannon.ca/classified/housing/171192/,$850 plus utilities,27/Aug/2026,"Looking for a sublet for a room close to the 13/14 bus line to downtown, beginning September 6th, 2026 to December 2026 OR September 6th, 2026 to April 2027. Price is 850 plus utilities, staying with 2 recent graduates who are now working",N/A,N/A,False,
